timestamp,c_dht,h_dht,c_bme,p_bme,h_bme
1713368177,22.35638,50.13809,20.33,996.54,43.00
1713368187,22.35638,50.1152,20.33,996.43,43.05
1713368197,22.31365,50.1091,20.34,996.52,43.03
1713368207,22.34303,50.12741,20.32,996.54,43.04
1713368217,22.34303,50.13657,20.32,996.49,43.04
1713368227,22.327,50.15945,20.32,996.51,43.04
1713368237,22.34303,50.10452,20.31,996.48,43.01
1713368247,22.327,50.14725,20.31,996.45,43.03
1713368257,22.34303,50.12741,20.31,996.44,43.04
1713368267,22.327,50.08774,20.3,996.44,43.02
1713368277,22.327,50.15945,20.31,996.47,43.06
1713368287,22.327,50.14725,20.3,996.48,43.10
1713368297,22.3003,50.1915,20.3,996.48,43.11
1713368307,22.327,50.17014,20.3,996.45,43.11
1713368317,22.327,50.15945,20.3,996.48,43.08
1713368327,22.34303,50.17319,20.29,996.50,43.11
1713368337,22.327,50.20676,20.29,996.50,43.11
1713368347,22.31365,50.21592,20.29,996.46,43.14
1713368357,22.31365,50.26627,20.3,996.45,43.12
1713368367,22.31365,50.23881,20.29,996.47,43.14
1713368377,22.3003,50.26475,20.29,996.51,43.15
1713368387,22.31365,50.20524,20.27,996.46,43.13
1713368397,22.327,50.17014,20.28,996.50,43.13
1713368407,22.31365,50.17014,20.29,996.51,43.14
1713368417,22.31365,50.22965,20.28,996.47,43.16
1713368427,22.31365,50.19302,20.26,996.50,43.15
1713368437,22.327,50.18387,20.26,996.53,43.16
1713368447,22.3003,50.23881,20.26,996.47,43.15
1713368457,22.31365,50.20524,20.27,996.43,43.16
1713368467,22.3003,50.20524,20.27,996.45,43.16
1713368477,22.3003,50.23881,20.27,996.45,43.18
1713368487,22.31365,50.23881,20.27,996.46,43.19
1713368497,22.3003,50.28764,20.26,996.53,43.20
1713368507,22.3003,50.22813,20.26,996.55,43.23
1713368517,22.3003,50.2739,20.26,996.55,43.24
1713368527,22.3003,50.33494,20.26,996.58,43.23
1713368537,22.28695,50.30747,20.25,996.54,43.24
1713368547,22.28695,50.29679,20.25,996.57,43.23
1713368557,22.3003,50.2739,20.26,996.46,43.24
1713368567,22.28695,50.31968,20.25,996.50,43.26
1713368577,22.27093,50.30595,20.25,996.48,43.28
1713368587,22.28695,50.29679,20.25,996.45,43.29
1713368597,22.3003,50.29832,20.25,996.56,43.30
1713368607,22.28695,50.31968,20.24,996.46,43.31
1713368617,22.28695,50.3563,20.23,996.51,43.34
1713368627,22.3003,50.29832,20.23,996.48,43.34
1713368637,22.28695,50.31968,20.23,996.48,43.35
1713368647,22.27093,50.35325,20.23,996.51,43.37
1713368657,22.27093,50.43565,20.23,996.51,43.36
1713368667,22.28695,50.39292,20.23,996.50,43.34
1713368677,22.28695,50.4036,20.23,996.55,43.33
1713368687,22.27093,50.40208,20.22,996.46,43.32
1713368697,22.25491,50.39902,20.22,996.51,43.33
1713368707,22.25491,50.41123,20.22,996.48,43.32
1713368717,22.27093,50.35325,20.22,996.51,43.31
1713368727,22.27093,50.37614,20.22,996.42,43.31
1713368737,22.25491,50.33952,20.22,996.46,43.32
1713368747,22.25491,50.37461,20.22,996.50,43.36
1713368757,22.27093,50.41276,20.21,996.44,43.37
1713368767,22.28695,50.4036,20.22,996.45,43.39
1713368777,22.27093,50.40208,20.21,996.49,43.37
1713368787,22.27093,50.40208,20.21,996.49,43.35
1713368797,22.24155,50.42039,20.21,996.47,43.38
1713368807,22.27093,50.41276,20.21,996.54,43.40
1713368817,22.24155,50.45701,20.21,996.43,43.40
1713368827,22.24155,50.3975,20.21,996.49,43.39
1713368837,22.27093,50.42496,20.21,996.51,43.40
1713368847,22.25491,50.41123,20.21,996.46,43.40
1713368857,22.24155,50.49363,20.21,996.52,43.40
1713368867,22.27093,50.46159,20.2,996.44,43.45
1713368877,22.19883,50.486,20.2,996.47,43.42
1713368887,22.24155,50.53025,20.2,996.53,43.43
1713368897,22.24155,50.47074,20.19,996.48,43.42
1713368907,22.24155,50.45701,20.19,996.52,43.41
1713368917,22.24155,50.47074,20.19,996.46,43.45
1713368927,22.2282,50.46769,20.19,996.52,43.43
1713368937,22.2282,50.50278,20.19,996.46,43.45
1713368947,22.24155,50.49363,20.18,996.49,43.47
1713368957,22.21218,50.48905,20.18,996.47,43.49
1713368967,22.21218,50.53635,20.18,996.49,43.47
1713368977,22.2282,50.49058,20.17,996.50,43.45
1713368987,22.2282,50.5272,20.17,996.49,43.48
1713368997,22.21218,50.49973,20.17,996.53,43.51
1713369007,22.2282,50.53941,20.17,996.48,43.51
1713369017,22.21218,50.55924,20.17,996.46,43.52
1713369027,22.21218,50.55924,20.16,996.46,43.52
1713369037,22.21218,50.54856,20.16,996.47,43.54
1713369047,22.2282,50.55009,20.16,996.49,43.56
1713369057,22.2282,50.57298,20.15,996.45,43.56
1713369067,22.2282,50.59892,20.16,996.49,43.58
1713369077,22.2282,50.6096,20.15,996.42,43.57
1713369087,22.21218,50.61876,20.14,996.49,43.60
1713369097,22.2282,50.59892,20.14,996.55,43.60
