c_sht,h_sht,c_bme,p_bme,h_bme,c_lm,lux_diode
1714000070,18.47906,52.5597,16.65C,995.97hPa,45.69%,19.49737,17.04433
1714000080,18.46571,52.56886,16.66C,995.98hPa,45.63%,19.57794,17.01991
1714000090,18.46571,52.55818,16.65C,996.05hPa,45.62%,19.49737,17.04433
1714000100,18.46571,52.51697,16.66C,996.00hPa,45.72%,19.4168,17.04433
1714000110,18.47906,52.53987,16.66C,995.98hPa,45.72%,19.49737,17.01991
1714000120,18.47906,52.51697,16.66C,996.01hPa,45.70%,19.49737,17.04433
1714000130,18.46571,52.54597,16.65C,995.99hPa,45.67%,19.49737,17.04433
1714000140,18.45235,52.55818,16.65C,995.94hPa,45.76%,19.4168,17.04433
1714000150,18.47906,52.53987,16.66C,995.98hPa,45.75%,19.4168,17.04433
1714000160,18.46571,52.55818,16.66C,995.98hPa,45.74%,19.49737,17.04433
1714000170,18.46571,52.61311,16.65C,995.94hPa,45.80%,19.57794,17.04433
1714000180,18.45235,52.61006,16.66C,995.98hPa,45.82%,19.49737,17.01991
1714000190,18.46571,52.58107,16.66C,995.95hPa,45.76%,19.49737,17.04433
1714000200,18.45235,52.62226,16.65C,996.02hPa,45.76%,19.4168,17.04433
1714000210,18.45235,52.61006,16.66C,995.98hPa,45.79%,19.49737,17.04433
1714000220,18.43633,52.61006,16.65C,995.94hPa,45.77%,19.4168,17.04433
1714000230,18.46571,52.56886,16.65C,996.02hPa,45.72%,19.49737,17.04433
1714000240,18.45235,52.59938,16.65C,995.97hPa,45.76%,19.33623,17.04433
1714000250,18.46571,52.61311,16.65C,995.97hPa,45.80%,19.49737,17.04433
1714000260,18.46571,52.61311,16.65C,995.94hPa,45.79%,19.49737,17.04433
1714000270,18.45235,52.59022,16.65C,995.97hPa,45.80%,19.49737,17.04433
1714000280,18.46571,52.58107,16.66C,996.03hPa,45.82%,19.4168,17.04433
1714000290,18.45235,52.56886,16.66C,996.03hPa,45.84%,19.49737,17.04433
1714000300,18.45235,52.59022,16.65C,995.97hPa,45.83%,19.49737,17.04433
1714000310,18.46571,52.56886,16.65C,995.99hPa,45.78%,19.49737,17.04433
1714000320,18.47906,52.62379,16.65C,996.01hPa,45.81%,19.49737,17.04433
1714000330,18.45235,52.59938,16.64C,996.00hPa,45.88%,19.49737,17.04433
1714000340,18.45235,52.61006,16.65C,995.97hPa,45.91%,19.57794,17.04433
1714000350,18.46571,52.62226,16.65C,995.99hPa,45.89%,19.49737,17.04433
1714000360,18.46571,52.61311,16.64C,996.01hPa,45.80%,19.49737,17.04433
1714000370,18.47906,52.61464,16.65C,995.97hPa,45.78%,19.49737,17.01991
1714000380,18.45235,52.56886,16.65C,995.93hPa,45.88%,19.49737,17.01991
1714000390,18.45235,52.57801,16.65C,995.99hPa,45.77%,19.4168,17.04433
1714000400,18.46571,52.58107,16.65C,995.94hPa,45.73%,19.49737,17.04433
1714000410,18.45235,52.61006,16.66C,995.95hPa,45.79%,19.4168,17.04433
1714000420,18.46571,52.61311,16.65C,995.96hPa,45.84%,19.4168,17.04433
1714000430,18.45235,52.62226,16.65C,995.96hPa,45.80%,19.57794,17.04433
1714000440,18.46571,52.6009,16.65C,995.88hPa,45.75%,19.49737,17.04433
1714000450,18.46571,52.6009,16.65C,995.96hPa,45.76%,19.57794,17.06874
1714000460,18.46571,52.56886,16.65C,995.99hPa,45.81%,19.49737,17.04433
1714000470,18.45235,52.61006,16.65C,995.91hPa,45.78%,19.4168,17.04433
1714000480,18.49241,52.5948,16.65C,995.97hPa,45.74%,19.49737,17.04433
1714000490,18.46571,52.6009,16.65C,995.94hPa,45.74%,19.49737,17.04433
1714000500,18.45235,52.57801,16.65C,995.96hPa,45.70%,19.49737,17.04433
1714000510,18.42298,52.58717,16.65C,995.88hPa,45.68%,19.49737,17.06874
1714000520,18.45235,52.59022,16.65C,995.93hPa,45.76%,19.57794,17.04433
1714000530,18.43633,52.57649,16.64C,995.95hPa,45.81%,19.49737,17.01991
1714000540,18.45235,52.53528,16.64C,995.93hPa,45.87%,19.57794,17.04433
1714000550,18.45235,52.55818,16.64C,995.95hPa,45.81%,19.57794,17.04433
1714000560,18.46571,52.56886,16.66C,996.00hPa,45.79%,19.57794,17.04433
1714000570,18.43633,52.61006,16.65C,995.96hPa,45.87%,19.4168,17.04433
1714000580,18.43633,52.57649,16.65C,996.02hPa,45.80%,19.4168,17.04433
1714000590,18.45235,52.59022,16.65C,995.97hPa,45.76%,19.49737,17.04433
1714000600,18.45235,52.57801,16.64C,995.94hPa,45.79%,19.4168,17.04433
1714000610,18.43633,52.56733,16.65C,995.97hPa,45.80%,19.57794,17.04433
1714000620,18.46571,52.58107,16.65C,995.99hPa,45.87%,19.49737,17.04433
1714000630,18.47906,52.60395,16.64C,995.95hPa,45.88%,19.49737,17.04433
1714000640,18.46571,52.59175,16.65C,996.01hPa,45.80%,19.49737,17.01991
1714000650,18.45235,52.57801,16.64C,995.90hPa,45.80%,19.4168,17.04433
1714000660,18.46571,52.53681,16.64C,995.94hPa,45.86%,19.57794,17.04433
1714000670,18.42298,52.58717,16.64C,995.98hPa,45.88%,19.57794,17.04433
1714000680,18.43633,52.54445,16.65C,995.99hPa,45.83%,19.49737,17.04433
1714000690,18.46571,52.55818,16.64C,995.97hPa,45.85%,19.57794,17.04433
1714000700,18.45235,52.55818,16.64C,995.98hPa,45.85%,19.49737,17.04433
1714000710,18.46571,52.56886,16.65C,996.02hPa,45.85%,19.49737,17.04433
1714000720,18.45235,52.57801,16.64C,995.93hPa,45.82%,19.49737,17.04433
1714000730,18.45235,52.56886,16.64C,995.90hPa,45.87%,19.4168,17.04433
1714000740,18.45235,52.56886,16.65C,996.01hPa,45.84%,19.49737,17.04433
1714000750,18.46571,52.53681,16.64C,995.95hPa,45.78%,19.57794,17.04433
1714000760,18.40963,52.49561,16.65C,995.99hPa,45.81%,19.57794,17.04433
1714000770,18.43633,52.56733,16.64C,996.01hPa,45.79%,19.57794,17.06874
1714000780,18.43633,52.54445,16.64C,995.98hPa,45.82%,19.49737,17.04433
1714000790,18.45235,52.55818,16.63C,995.99hPa,45.78%,19.49737,17.04433
1714000800,18.45235,52.54445,16.63C,995.94hPa,45.77%,19.49737,17.04433
1714000810,18.46571,52.58107,16.65C,995.99hPa,45.84%,19.49737,17.04433
1714000820,18.42298,52.5536,16.64C,995.94hPa,45.80%,19.4168,17.04433
1714000830,18.46571,52.59175,16.64C,996.01hPa,45.78%,19.57794,17.04433
1714000840,18.45235,52.56886,16.65C,995.99hPa,45.73%,19.4168,17.04433
1714000850,18.42298,52.56428,16.64C,995.98hPa,45.78%,19.57794,17.04433
1714000860,18.43633,52.59632,16.64C,995.95hPa,45.80%,19.4168,17.06874
1714000870,18.42298,52.56428,16.64C,995.95hPa,45.84%,19.4168,17.04433
1714000880,18.43633,52.58717,16.64C,995.98hPa,45.82%,19.49737,17.04433
1714000890,18.40963,52.58564,16.64C,995.95hPa,45.80%,19.49737,17.06874
1714000900,18.45235,52.55818,16.65C,995.91hPa,45.83%,19.4168,17.06874
1714000910,18.46571,52.58107,16.64C,995.94hPa,45.85%,19.49737,17.04433
1714000920,18.45235,52.56886,16.63C,995.91hPa,45.87%,19.57794,17.06874
1714000930,18.45235,52.56886,16.64C,996.00hPa,45.85%,19.49737,17.04433
1714000940,18.42298,52.60853,16.64C,995.98hPa,45.82%,19.49737,17.04433
1714000950,18.45235,52.57801,16.64C,995.89hPa,45.77%,19.57794,17.04433
1714000960,18.43633,52.57649,16.63C,995.91hPa,45.77%,19.49737,17.06874
1714000970,18.45235,52.55818,16.63C,995.91hPa,45.81%,19.49737,17.04433
1714000980,18.45235,52.59022,16.63C,995.94hPa,45.86%,19.49737,17.01991
1714000990,18.45235,52.59938,16.63C,995.96hPa,45.88%,19.49737,17.06874
1714001000,18.40963,52.5948,16.63C,995.94hPa,45.85%,19.4168,17.06874
1714001010,18.45235,52.57801,16.64C,995.97hPa,45.89%,19.57794,17.06874
1714001020,18.42298,52.59632,16.64C,995.94hPa,45.81%,19.4168,17.04433
1714001030,18.43633,52.59632,16.63C,995.94hPa,45.73%,19.49737,17.04433
1714001040,18.42298,52.56428,16.63C,995.88hPa,45.69%,19.4168,17.04433
1714001050,18.43633,52.59632,16.64C,995.97hPa,45.76%,19.57794,17.04433
1714001060,18.45235,52.59938,16.63C,995.94hPa,45.79%,19.4168,17.04433
1714001070,18.43633,52.57649,16.63C,995.91hPa,45.76%,19.49737,17.04433
1714001080,18.43633,52.58717,16.62C,995.92hPa,45.74%,19.33623,17.04433
1714001090,18.45235,52.56886,16.63C,995.93hPa,45.74%,19.49737,17.04433
1714001100,18.45235,52.57801,16.64C,995.89hPa,45.81%,19.49737,17.06874
1714001110,18.43633,52.61921,16.63C,995.90hPa,45.78%,19.4168,17.04433
1714001120,18.45235,52.59022,16.62C,995.89hPa,45.72%,19.4168,17.04433
1714001130,18.43633,52.55513,16.63C,995.93hPa,45.79%,19.4168,17.04433
1714001140,18.45235,52.62226,16.63C,995.96hPa,45.74%,19.57794,17.06874
1714001150,18.43633,52.6421,16.64C,995.94hPa,45.75%,19.49737,17.04433
1714001160,18.43633,52.61921,16.63C,995.93hPa,45.80%,19.49737,17.04433
1714001170,18.42298,52.60853,16.63C,995.83hPa,45.86%,19.4168,17.04433
1714001180,18.43633,52.61921,16.63C,995.93hPa,45.86%,19.4168,17.04433
1714001190,18.43633,52.65126,16.62C,995.89hPa,45.87%,19.4168,17.04433
1714001200,18.42298,52.65126,16.63C,995.91hPa,45.80%,19.4168,17.04433
1714001210,18.45235,52.63295,16.63C,995.88hPa,45.78%,19.4168,17.06874
1714001220,18.45235,52.6772,16.62C,995.97hPa,45.66%,19.49737,17.06874
1714001230,18.43633,52.63142,16.63C,995.94hPa,45.70%,19.49737,17.04433
1714001240,18.42298,52.65126,16.63C,995.87hPa,45.74%,19.49737,17.01991
1714001250,18.45235,52.6772,16.63C,995.93hPa,45.81%,19.49737,17.04433
1714001260,18.42298,52.69246,16.63C,995.87hPa,45.77%,19.4168,17.04433
1714001270,18.45235,52.68788,16.62C,995.87hPa,45.80%,19.4168,17.06874
1714001280,18.43633,52.68635,16.63C,995.87hPa,45.79%,19.49737,17.04433
1714001290,18.40963,52.66957,16.63C,995.93hPa,45.86%,19.49737,17.06874
1714001300,18.42298,52.65126,16.63C,995.94hPa,45.92%,19.49737,17.06874
1714001310,18.45235,52.65431,16.63C,995.87hPa,45.86%,19.49737,17.06874
1714001320,18.42298,52.64058,16.62C,995.89hPa,45.72%,19.4168,17.06874
1714001330,18.40963,52.62837,16.62C,995.92hPa,45.70%,19.49737,17.04433
1714001340,18.40963,52.64973,16.62C,995.89hPa,45.78%,19.4168,17.06874
1714001350,18.42298,52.65126,16.62C,995.89hPa,45.83%,19.4168,17.04433
1714001360,18.43633,52.61921,16.62C,995.91hPa,45.89%,19.4168,17.01991
1714001370,18.43633,52.6421,16.62C,995.89hPa,45.87%,19.49737,17.04433
1714001380,18.40963,52.60548,16.61C,995.90hPa,45.82%,19.49737,17.06874
1714001390,18.42298,52.61769,16.62C,995.92hPa,45.83%,19.57794,17.04433
1714001400,18.43633,52.63142,16.61C,995.84hPa,45.81%,19.49737,17.04433
1714001410,18.42298,52.58717,16.62C,995.95hPa,45.88%,19.4168,17.04433
1714001420,18.43633,52.61006,16.61C,995.88hPa,45.92%,19.4168,17.04433
1714001430,18.42298,52.60853,16.62C,995.86hPa,45.80%,19.4168,17.04433
1714001440,18.43633,52.58717,16.62C,995.91hPa,45.72%,19.4168,17.04433
1714001450,18.40963,52.64973,16.61C,995.96hPa,45.57%,19.4168,17.06874
1714001460,18.42298,52.67262,16.6C,995.89hPa,45.63%,19.4168,17.06874
1714001470,18.43633,52.67414,16.61C,995.93hPa,45.76%,19.49737,17.06874
1714001480,18.42298,52.67262,16.61C,995.88hPa,45.70%,19.49737,17.06874
1714001490,18.43633,52.66346,16.61C,995.90hPa,45.68%,19.4168,17.06874
1714001500,18.45235,52.62226,16.61C,995.85hPa,45.78%,19.49737,17.04433
1714001510,18.40963,52.64973,16.62C,995.91hPa,45.88%,19.49737,17.04433
1714001520,18.43633,52.61921,16.61C,995.85hPa,45.80%,19.4168,17.06874
1714001530,18.42298,52.66346,16.61C,995.85hPa,45.77%,19.4168,17.04433
1714001540,18.43633,52.63142,16.61C,995.82hPa,45.74%,19.33623,17.04433
1714001550,18.43633,52.68635,16.61C,995.90hPa,45.78%,19.33623,17.04433
1714001560,18.40963,52.64973,16.61C,995.84hPa,45.85%,19.4168,17.06874
1714001570,18.42298,52.66346,16.61C,995.85hPa,45.88%,19.49737,17.04433
1714001580,18.42298,52.67262,16.62C,995.87hPa,45.86%,19.4168,17.06874
1714001590,18.40963,52.68177,16.61C,995.90hPa,45.68%,19.4168,17.06874
1714001600,18.43633,52.69551,16.6C,995.83hPa,45.58%,19.49737,17.04433
1714001610,18.42298,52.65126,16.6C,995.78hPa,45.62%,19.49737,17.04433
1714001620,18.43633,52.65126,16.6C,995.84hPa,45.57%,19.33623,17.04433
1714001630,18.39627,52.65889,16.6C,995.85hPa,45.86%,19.49737,17.04433
1714001640,18.42298,52.64058,16.6C,995.84hPa,45.96%,19.4168,17.06874
1714001650,18.42298,52.62837,16.6C,995.87hPa,45.93%,19.4168,17.06874
1714001660,18.42298,52.65126,16.6C,995.91hPa,45.79%,19.4168,17.04433
1714001670,18.40963,52.71382,16.6C,995.85hPa,45.86%,19.49737,17.04433
1714001680,18.40963,52.68177,16.6C,995.86hPa,45.80%,19.4168,17.04433
1714001690,18.40963,52.70466,16.6C,995.86hPa,45.86%,19.4168,17.06874
1714001700,18.42298,52.70619,16.6C,995.84hPa,45.95%,19.33623,17.06874
1714001710,18.43633,52.67414,16.6C,995.88hPa,45.95%,19.49737,17.04433
1714001720,18.42298,52.6833,16.6C,995.87hPa,45.74%,19.4168,17.06874
1714001730,18.43633,52.65126,16.6C,995.83hPa,45.78%,19.49737,17.06874
1714001740,18.39627,52.63752,16.6C,995.79hPa,45.80%,19.49737,17.06874
1714001750,18.40963,52.66041,16.6C,995.84hPa,45.82%,19.4168,17.06874
1714001760,18.43633,52.69551,16.59C,995.78hPa,45.84%,19.49737,17.06874
1714001770,18.43633,52.67414,16.6C,995.77hPa,45.92%,19.49737,17.06874
1714001780,18.39627,52.65889,16.6C,995.82hPa,45.91%,19.4168,17.06874
1714001790,18.40963,52.64973,16.6C,995.79hPa,45.93%,19.4168,17.06874
1714001800,18.39627,52.69093,16.6C,995.79hPa,45.91%,19.4168,17.04433
1714001810,18.39627,52.62684,16.6C,995.78hPa,45.80%,19.4168,17.06874
1714001820,18.42298,52.61769,16.59C,995.84hPa,45.81%,19.4168,17.04433
1714001830,18.43633,52.6421,16.6C,995.85hPa,45.79%,19.49737,17.06874
1714001840,18.40963,52.64973,16.61C,995.82hPa,45.83%,19.49737,17.06874
1714001850,18.40963,52.69246,16.6C,995.82hPa,45.83%,19.49737,17.06874
1714001860,18.39627,52.63752,16.59C,995.84hPa,45.82%,19.4168,17.06874
1714001870,18.42298,52.69246,16.6C,995.74hPa,45.78%,19.4168,17.06874
1714001880,18.42298,52.65126,16.6C,995.87hPa,45.81%,19.4168,17.04433
1714001890,18.42298,52.66346,16.6C,995.83hPa,45.72%,19.49737,17.06874
1714001900,18.42298,52.69246,16.6C,995.77hPa,45.74%,19.4168,17.04433
1714001910,18.42298,52.70619,16.6C,995.85hPa,45.80%,19.4168,17.06874
1714001920,18.39627,52.65889,16.6C,995.82hPa,45.77%,19.49737,17.04433
1714001930,18.43633,52.6421,16.59C,995.81hPa,45.72%,19.4168,17.04433
1714001940,18.40963,52.68177,16.6C,995.83hPa,45.79%,19.49737,17.06874
1714001950,18.42298,52.65126,16.59C,995.86hPa,45.91%,19.49737,17.06874
1714001960,18.42298,52.59632,16.6C,995.71hPa,45.91%,19.49737,17.06874
1714001970,18.40963,52.64058,16.6C,995.80hPa,45.81%,19.49737,17.04433
1714001980,18.39627,52.62684,16.6C,995.83hPa,45.79%,19.4168,17.06874
1714001990,18.40963,52.64973,16.6C,995.77hPa,45.77%,19.33623,17.04433
1714002000,18.39627,52.66957,16.6C,995.77hPa,45.77%,19.4168,17.06874
1714002010,18.40963,52.66957,16.6C,995.79hPa,45.79%,19.49737,17.04433
1714002020,18.39627,52.63752,16.6C,995.85hPa,45.74%,19.49737,17.06874
1714002030,18.39627,52.63752,16.6C,995.79hPa,45.82%,19.4168,17.06874
1714002040,18.39627,52.60395,16.6C,995.74hPa,45.83%,19.49737,17.06874
1714002050,18.42298,52.59632,16.61C,995.79hPa,45.73%,19.33623,17.06874
1714002060,18.39627,52.64668,16.6C,995.83hPa,45.67%,19.4168,17.04433
1714002070,18.39627,52.65889,16.6C,995.79hPa,45.73%,19.33623,17.06874
1714002080,18.39627,52.66957,16.6C,995.79hPa,45.77%,19.4168,17.04433
1714002090,18.40963,52.64058,16.6C,995.75hPa,45.78%,19.4168,17.06874
1714002100,18.40963,52.62837,16.59C,995.78hPa,45.76%,19.49737,17.06874
1714002110,18.39627,52.62684,16.6C,995.75hPa,45.77%,19.49737,17.06874
1714002120,18.39627,52.64668,16.6C,995.77hPa,45.70%,19.4168,17.06874
1714002130,18.40963,52.5948,16.59C,995.70hPa,45.68%,19.4168,17.06874
1714002140,18.42298,52.60853,16.6C,995.82hPa,45.79%,19.4168,17.06874
1714002150,18.39627,52.64668,16.59C,995.81hPa,45.78%,19.49737,17.04433
1714002160,18.42298,52.58717,16.6C,995.83hPa,45.78%,19.49737,17.06874
1714002170,18.39627,52.61464,16.59C,995.78hPa,45.81%,19.49737,17.06874
1714002180,18.42298,52.61769,16.6C,995.85hPa,45.81%,19.4168,17.04433
1714002190,18.42298,52.56428,16.6C,995.80hPa,45.78%,19.49737,17.04433
1714002200,18.40963,52.60548,16.6C,995.81hPa,45.79%,19.4168,17.06874
1714002210,18.39627,52.59175,16.6C,995.79hPa,45.80%,19.49737,17.06874
1714002220,18.38025,52.62379,16.59C,995.78hPa,45.75%,19.49737,17.06874
1714002230,18.40963,52.64058,16.59C,995.70hPa,45.79%,19.4168,17.04433
1714002240,18.40963,52.66957,16.6C,995.77hPa,45.80%,19.49737,17.06874
1714002250,18.39627,52.61464,16.59C,995.78hPa,45.82%,19.4168,17.06874
1714002260,18.39627,52.62684,16.6C,995.74hPa,45.79%,19.49737,17.04433
1714002270,18.38025,52.636,16.59C,995.70hPa,45.78%,19.49737,17.06874
1714002280,18.40963,52.60548,16.6C,995.71hPa,45.87%,19.4168,17.06874
1714002290,18.38025,52.636,16.6C,995.77hPa,45.91%,19.49737,17.06874
1714002300,18.38025,52.64515,16.6C,995.79hPa,45.81%,19.4168,17.04433
1714002310,18.38025,52.70924,16.6C,995.79hPa,45.72%,19.4168,17.06874
1714002320,18.38025,52.70008,16.6C,995.77hPa,45.80%,19.4168,17.06874
1714002330,18.42298,52.67262,16.6C,995.82hPa,45.83%,19.49737,17.06874
1714002340,18.39627,52.63752,16.59C,995.76hPa,45.78%,19.4168,17.04433
1714002350,18.39627,52.65889,16.6C,995.74hPa,45.82%,19.4168,17.06874
1714002360,18.38025,52.64515,16.6C,995.71hPa,45.89%,19.4168,17.06874
1714002370,18.38025,52.61311,16.6C,995.82hPa,45.82%,19.4168,17.06874
1714002380,18.40963,52.5948,16.6C,995.80hPa,45.80%,19.33623,17.06874
1714002390,18.38025,52.62379,16.6C,995.79hPa,45.84%,19.4168,17.06874
1714002400,18.38025,52.62379,16.6C,995.78hPa,45.91%,19.49737,17.06874
1714002410,18.39627,52.62684,16.6C,995.74hPa,45.87%,19.4168,17.04433
1714002420,18.39627,52.65889,16.6C,995.83hPa,45.80%,19.49737,17.04433
1714002430,18.3669,52.63295,16.59C,995.73hPa,45.82%,19.49737,17.06874
1714002440,18.38025,52.636,16.59C,995.72hPa,45.84%,19.49737,17.06874
1714002450,18.42298,52.62837,16.6C,995.71hPa,45.83%,19.33623,17.06874
1714002460,18.40963,52.60548,16.59C,995.70hPa,45.80%,19.49737,17.06874
1714002470,18.39627,52.62684,16.59C,995.70hPa,45.80%,19.49737,17.06874
1714002480,18.38025,52.62379,16.6C,995.71hPa,45.87%,19.4168,17.06874
1714002490,18.39627,52.64668,16.6C,995.77hPa,45.86%,19.4168,17.06874
1714002500,18.39627,52.65889,16.6C,995.74hPa,45.86%,19.49737,17.06874
1714002510,18.40963,52.62837,16.59C,995.73hPa,45.82%,19.49737,17.06874
1714002520,18.38025,52.65583,16.59C,995.75hPa,45.81%,19.4168,17.06874
1714002530,18.39627,52.59175,16.59C,995.73hPa,45.81%,19.49737,17.06874
1714002540,18.39627,52.59175,16.59C,995.64hPa,45.84%,19.49737,17.06874
1714002550,18.39627,52.62684,16.6C,995.72hPa,45.86%,19.4168,17.06874
1714002560,18.3669,52.57801,16.6C,995.77hPa,45.79%,19.49737,17.06874
1714002570,18.38025,52.61311,16.59C,995.64hPa,45.79%,19.4168,17.04433
1714002580,18.40963,52.64058,16.6C,995.75hPa,45.79%,19.4168,17.04433
1714002590,18.38025,52.60395,16.6C,995.72hPa,45.83%,19.57794,17.06874
1714002600,18.38025,52.636,16.59C,995.76hPa,45.81%,19.49737,17.04433
1714002610,18.40963,52.61464,16.6C,995.71hPa,45.81%,19.49737,17.06874
1714002620,18.3669,52.6009,16.59C,995.70hPa,45.81%,19.49737,17.06874
1714002630,18.40963,52.60548,16.6C,995.77hPa,45.87%,19.4168,17.06874
1714002640,18.38025,52.60395,16.6C,995.77hPa,45.86%,19.4168,17.06874
1714002650,18.38025,52.60395,16.59C,995.72hPa,45.81%,19.4168,17.09316
1714002660,18.3669,52.6009,16.6C,995.77hPa,45.83%,19.57794,17.06874
1714002670,18.38025,52.61311,16.59C,995.70hPa,45.83%,19.4168,17.06874
1714002680,18.38025,52.60395,16.59C,995.68hPa,45.83%,19.49737,17.06874
1714002690,18.39627,52.62684,16.59C,995.73hPa,45.82%,19.49737,17.04433
1714002700,18.38025,52.62379,16.59C,995.70hPa,45.87%,19.4168,17.04433
1714002710,18.39627,52.55055,16.59C,995.64hPa,45.83%,19.49737,17.09316
1714002720,18.38025,52.60395,16.59C,995.72hPa,45.71%,19.49737,17.06874
1714002730,18.39627,52.56276,16.58C,995.69hPa,45.81%,19.4168,17.04433
1714002740,18.39627,52.56276,16.6C,995.69hPa,45.86%,19.4168,17.06874
1714002750,18.38025,52.58107,16.59C,995.67hPa,45.85%,19.49737,17.06874
1714002760,18.38025,52.58107,16.59C,995.70hPa,45.73%,19.49737,17.06874
1714002770,18.38025,52.59022,16.59C,995.67hPa,45.80%,19.4168,17.06874
1714002780,18.40963,52.58564,16.59C,995.67hPa,45.91%,19.49737,17.06874
1714002790,18.3669,52.54597,16.58C,995.72hPa,45.90%,19.49737,17.06874
1714002800,18.39627,52.61464,16.59C,995.70hPa,45.88%,19.49737,17.06874
1714002810,18.39627,52.53681,16.59C,995.72hPa,45.81%,19.49737,17.06874
1714002820,18.39627,52.58259,16.58C,995.66hPa,45.80%,19.49737,17.09316
1714002830,18.39627,52.58259,16.59C,995.64hPa,45.78%,19.33623,17.06874
1714002840,18.38025,52.56886,16.59C,995.64hPa,45.74%,19.49737,17.06874
1714002850,18.35355,52.57801,16.58C,995.61hPa,45.76%,19.33623,17.06874
1714002860,18.3669,52.54597,16.59C,995.62hPa,45.82%,19.4168,17.04433
1714002870,18.38025,52.52613,16.59C,995.72hPa,45.83%,19.4168,17.09316
1714002880,18.39627,52.55055,16.6C,995.66hPa,45.80%,19.4168,17.04433
1714002890,18.3669,52.57801,16.58C,995.69hPa,45.78%,19.4168,17.06874
1714002900,18.38025,52.56886,16.58C,995.60hPa,45.79%,19.49737,17.06874
1714002910,18.35355,52.53223,16.58C,995.69hPa,45.78%,19.33623,17.06874
1714002920,18.38025,52.56886,16.59C,995.62hPa,45.74%,19.4168,17.06874
1714002930,18.38025,52.56886,16.58C,995.69hPa,45.75%,19.49737,17.06874
1714002940,18.3669,52.57801,16.58C,995.72hPa,45.75%,19.49737,17.06874
1714002950,18.3669,52.61006,16.59C,995.67hPa,45.78%,19.4168,17.06874
1714002960,18.3669,52.6009,16.59C,995.72hPa,45.78%,19.4168,17.06874
1714002970,18.38025,52.61311,16.58C,995.63hPa,45.79%,19.4168,17.06874
1714002980,18.38025,52.61311,16.58C,995.69hPa,45.74%,19.4168,17.06874
1714002990,18.39627,52.60395,16.59C,995.64hPa,45.76%,19.49737,17.06874
1714003000,18.38025,52.56886,16.59C,995.67hPa,45.80%,19.33623,17.06874
1714003010,18.39627,52.57191,16.59C,995.65hPa,45.76%,19.4168,17.06874
1714003020,18.3669,52.57801,16.59C,995.62hPa,45.75%,19.4168,17.06874
1714003030,18.3669,52.57801,16.59C,995.67hPa,45.76%,19.4168,17.06874
1714003040,18.39627,52.63752,16.59C,995.67hPa,45.75%,19.4168,17.06874
1714003050,18.40963,52.62837,16.59C,995.64hPa,45.72%,19.4168,17.06874
1714003060,18.38025,52.636,16.59C,995.67hPa,45.82%,19.33623,17.09316
1714003070,18.3669,52.69703,16.59C,995.62hPa,45.87%,19.49737,17.06874
1714003080,18.3669,52.66499,16.58C,995.63hPa,45.88%,19.4168,17.06874
1714003090,18.39627,52.68177,16.59C,995.64hPa,45.72%,19.49737,17.09316
1714003100,18.39627,52.65889,16.58C,995.69hPa,45.76%,19.4168,17.09316
1714003110,18.3669,52.66499,16.59C,995.59hPa,45.82%,19.49737,17.06874
1714003120,18.3669,52.66499,16.59C,995.62hPa,45.80%,19.4168,17.06874
1714003130,18.3669,52.65583,16.58C,995.58hPa,45.63%,19.4168,17.09316
1714003140,18.3669,52.63295,16.58C,995.63hPa,45.72%,19.4168,17.06874
1714003150,18.3669,52.65583,16.58C,995.65hPa,45.71%,19.49737,17.09316
1714003160,18.3669,52.59022,16.58C,995.63hPa,45.63%,19.4168,17.09316
1714003170,18.3669,52.59022,16.59C,995.67hPa,45.69%,19.4168,17.06874
1714003180,18.38025,52.58107,16.58C,995.61hPa,45.71%,19.33623,17.06874
1714003190,18.3669,52.57801,16.58C,995.58hPa,45.79%,19.4168,17.06874
1714003200,18.38025,52.59022,16.58C,995.57hPa,45.84%,19.4168,17.09316
1714003210,18.3669,52.59022,16.58C,995.60hPa,45.82%,19.49737,17.06874
1714003220,18.38025,52.62379,16.58C,995.66hPa,45.85%,19.4168,17.06874
1714003230,18.35355,52.59938,16.58C,995.60hPa,45.76%,19.4168,17.06874
1714003240,18.33753,52.59632,16.59C,995.70hPa,45.85%,19.49737,17.06874
1714003250,18.3669,52.63295,16.59C,995.59hPa,45.80%,19.4168,17.06874
1714003260,18.38025,52.636,16.59C,995.59hPa,45.74%,19.4168,17.06874
1714003270,18.3669,52.65583,16.57C,995.51hPa,45.79%,19.4168,17.06874
1714003280,18.39627,52.62684,16.57C,995.59hPa,45.79%,19.4168,17.09316
1714003290,18.3669,52.61006,16.58C,995.63hPa,45.74%,19.33623,17.06874
1714003300,18.38025,52.61311,16.58C,995.60hPa,45.68%,19.4168,17.09316
1714003310,18.38025,52.60395,16.58C,995.52hPa,45.76%,19.49737,17.06874
1714003320,18.3669,52.65583,16.57C,995.62hPa,45.92%,19.4168,17.06874
1714003330,18.38025,52.62379,16.58C,995.63hPa,45.92%,19.4168,17.06874
1714003340,18.3669,52.62226,16.57C,995.61hPa,45.85%,19.57794,17.06874
1714003350,18.38025,52.636,16.57C,995.58hPa,45.85%,19.4168,17.06874
1714003360,18.3669,52.61006,16.57C,995.56hPa,45.75%,19.49737,17.09316
1714003370,18.3669,52.56733,16.57C,995.53hPa,45.64%,19.49737,17.06874
1714003380,18.35355,52.63295,16.57C,995.53hPa,45.71%,19.4168,17.06874
